system:index,NDVI,.geo
212,0.31226519337016573,"{""type"":""Point"",""coordinates"":[73.06450749489571,19.09333253188382]}"
213,-0.1128043730329634,"{""type"":""Point"",""coordinates"":[72.79568068069742,19.073985675577457]}"
214,0.398158684183304,"{""type"":""Point"",""coordinates"":[73.00723385652293,19.026772126069893]}"
215,0.3863235446715783,"{""type"":""Point"",""coordinates"":[72.92266957660117,19.154845213841217]}"
216,-0.11079365079365079,"{""type"":""Point"",""coordinates"":[72.9908190329781,19.035341924035105]}"
217,0.2599910193084867,"{""type"":""Point"",""coordinates"":[72.93574601166637,19.0869723506176]}"
218,0.05793742757821553,"{""type"":""Point"",""coordinates"":[72.84861677355006,19.07383863879094]}"
219,0.40112105418428556,"{""type"":""Point"",""coordinates"":[72.940683277204,19.136716234625816]}"
220,0.08645041129908428,"{""type"":""Point"",""coordinates"":[72.85037728698795,19.132510217889145]}"
221,0.13358302122347065,"{""type"":""Point"",""coordinates"":[72.84211598607895,19.16722802322754]}"
222,0.08528740402573148,"{""type"":""Point"",""coordinates"":[72.85674143693052,19.04772771439259]}"
223,0.06035364606166886,"{""type"":""Point"",""coordinates"":[72.87523309352837,19.194842439502917]}"
224,-0.11755128622598503,"{""type"":""Point"",""coordinates"":[72.93413308074288,18.982633471339444]}"
225,0.3016332437461236,"{""type"":""Point"",""coordinates"":[72.8963427909631,19.166972473872377]}"
226,0.26199261992619927,"{""type"":""Point"",""coordinates"":[73.03382179600514,19.121566026561453]}"
227,-0.09687339825730394,"{""type"":""Point"",""coordinates"":[72.78194960857796,19.05979958251066]}"
228,0.34995340167753963,"{""type"":""Point"",""coordinates"":[72.98863792035375,19.06270796749612]}"
229,0.11600697587143206,"{""type"":""Point"",""coordinates"":[72.84495721517507,18.959871883522887]}"
230,0.4202044025157233,"{""type"":""Point"",""coordinates"":[72.89471508005376,19.190708988191496]}"
231,0.25185098131390293,"{""type"":""Point"",""coordinates"":[73.01327239551037,19.03189249127505]}"
232,-0.13704630788485608,"{""type"":""Point"",""coordinates"":[72.90611617615808,18.955967924157658]}"
233,0.043926582800577436,"{""type"":""Point"",""coordinates"":[72.86659376695147,19.057304777838304]}"
234,-0.12308673469387756,"{""type"":""Point"",""coordinates"":[72.9607258226894,18.995167965431477]}"
235,-0.06245710363761153,"{""type"":""Point"",""coordinates"":[72.96209657626794,19.085935140600743]}"
236,0.36611802488960254,"{""type"":""Point"",""coordinates"":[73.06308976505741,19.091086838688575]}"
237,-0.13003687653091434,"{""type"":""Point"",""coordinates"":[72.83908909288701,18.9111896164107]}"
